epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24850.9,0.83655,0.89248,1.26049,0.82117,0.78147,0.81845,0.64924,0.80888,0.58102,1.23145,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,25620.1,0.82841,0.88157,1.25542,0.80972,0.78835,0.81939,0.64993,0.80735,0.57923,1.23018,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,26386.9,0.82488,0.879,1.25537,0.80922,0.78974,0.81964,0.65066,0.80556,0.57688,1.22841,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,27153.7,0.82176,0.87021,1.25131,0.80922,0.7927,0.81985,0.65126,0.80345,0.57535,1.22608,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,27921.0,0.82009,0.85607,1.24903,0.80957,0.79418,0.81994,0.65164,0.80188,0.57342,1.22448,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,28688.9,0.81417,0.85016,1.2444,0.81976,0.78764,0.82046,0.6526,0.80008,0.57114,1.22259,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,29456.9,0.80547,0.83963,1.23944,0.81732,0.79232,0.82102,0.65375,0.79835,0.56869,1.22125,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,30230.2,0.80678,0.83743,1.23979,0.81837,0.79358,0.82128,0.65434,0.79662,0.56711,1.2197,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,31000.5,0.80422,0.83528,1.23828,0.81954,0.79307,0.82204,0.65552,0.79474,0.56492,1.21817,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,31770.4,0.79574,0.81898,1.23251,0.82177,0.7922,0.82239,0.65609,0.79234,0.56255,1.21598,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,32539.9,0.79673,0.80876,1.23171,0.81921,0.79767,0.8227,0.65707,0.79007,0.56037,1.21433,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,33308.6,0.78998,0.8041,1.22858,0.81662,0.7997,0.82309,0.6578,0.78862,0.55802,1.21378,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,34074.9,0.78862,0.7997,1.22638,0.8129,0.8018,0.82346,0.65885,0.78697,0.55626,1.21268,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,34841.4,0.78656,0.78821,1.22326,0.81819,0.80011,0.82359,0.65976,0.78513,0.5543,1.21136,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,35609.2,0.77969,0.78291,1.21932,0.81798,0.80089,0.82409,0.66092,0.78299,0.55243,1.20977,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,36378.1,0.7776,0.78056,1.21738,0.81516,0.801,0.82437,0.66157,0.78089,0.55033,1.20779,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,37143.6,0.77116,0.77175,1.2151,0.8202,0.80044,0.8249,0.6627,0.77904,0.54797,1.20586,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,37910.0,0.77009,0.76301,1.21269,0.8263,0.79663,0.82539,0.66406,0.77707,0.54586,1.20436,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,38676.1,0.76421,0.75617,1.20884,0.82386,0.79939,0.82603,0.6651,0.77539,0.54396,1.20286,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,39441.2,0.76263,0.74819,1.20652,0.83013,0.79643,0.82614,0.6654,0.77322,0.5425,1.20085,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,40220.7,0.75538,0.73873,1.20148,0.82754,0.80202,0.82659,0.66636,0.77089,0.54033,1.19864,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,41020.8,0.75071,0.73614,1.19849,0.82697,0.80407,0.82717,0.66721,0.76903,0.5378,1.19712,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,41789.3,0.74955,0.73434,1.19785,0.82745,0.80488,0.82835,0.66806,0.7671,0.53595,1.19546,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,42555.1,0.74401,0.72239,1.19348,0.82811,0.80525,0.82854,0.66916,0.76513,0.53404,1.19371,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,904.781,0.74763,0.71708,1.20006,0.82835,0.80802,0.82878,0.66967,0.76359,0.53253,1.19246,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1755.57,0.74822,0.72032,1.19808,0.82762,0.8084,0.82905,0.67068,0.76239,0.53137,1.19134,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
