Merged dataset build complete
Total classes: 72
Universal split ratio: 0.70/0.15/0.15
Train augmentation target annotations per class: 2426

[train]
chole: before_images=273, after_images=273, before_annotations=289, after_annotations=289
coconut_chutney: before_images=216, after_images=216, before_annotations=226, after_annotations=226
dal: before_images=208, after_images=208, before_annotations=216, after_annotations=216
dhokla: before_images=151, after_images=151, before_annotations=186, after_annotations=186
dosa: before_images=241, after_images=241, before_annotations=319, after_annotations=319
dum_aloo: before_images=77, after_images=77, before_annotations=84, after_annotations=84
eggs: before_images=111, after_images=111, before_annotations=128, after_annotations=128
fish_curry: before_images=77, after_images=77, before_annotations=78, after_annotations=78
ghevar: before_images=50, after_images=50, before_annotations=100, after_annotations=100
green_chutney: before_images=141, after_images=141, before_annotations=148, after_annotations=148
gulab_jamun: before_images=58, after_images=58, before_annotations=409, after_annotations=409
idli: before_images=176, after_images=176, before_annotations=506, after_annotations=506
jalebi: before_images=187, after_images=187, before_annotations=241, after_annotations=241
kaara_chutney: before_images=46, after_images=46, before_annotations=49, after_annotations=49
kali: before_images=45, after_images=45, before_annotations=57, after_annotations=57
kebab: before_images=34, after_images=34, before_annotations=179, after_annotations=179
khandvi: before_images=70, after_images=70, before_annotations=75, after_annotations=75
kheer: before_images=63, after_images=63, before_annotations=85, after_annotations=85
koozh: before_images=45, after_images=45, before_annotations=47, after_annotations=47
kulfi: before_images=71, after_images=71, before_annotations=139, after_annotations=139
lassi: before_images=69, after_images=69, before_annotations=113, after_annotations=113
lemon_rice: before_images=45, after_images=45, before_annotations=51, after_annotations=51
medu_vada: before_images=83, after_images=83, before_annotations=101, after_annotations=101
modak: before_images=26, after_images=26, before_annotations=94, after_annotations=94
mushroom_biryani: before_images=45, after_images=45, before_annotations=48, after_annotations=48
mutton_biryani: before_images=45, after_images=45, before_annotations=45, after_annotations=45
mutton_curry: before_images=75, after_images=75, before_annotations=75, after_annotations=75
nandu_masala: before_images=45, after_images=45, before_annotations=47, after_annotations=47
nei_satham: before_images=45, after_images=45, before_annotations=47, after_annotations=47
omelette: before_images=45, after_images=45, before_annotations=46, after_annotations=46
onion_pakoda: before_images=71, after_images=71, before_annotations=73, after_annotations=73
paal_kolukattai: before_images=45, after_images=45, before_annotations=53, after_annotations=53
palak_paneer: before_images=214, after_images=214, before_annotations=220, after_annotations=220
paneer_biryani: before_images=45, after_images=45, before_annotations=45, after_annotations=45
paratha: before_images=27, after_images=27, before_annotations=34, after_annotations=34
parupu_vadai: before_images=45, after_images=45, before_annotations=54, after_annotations=54
pidi_kolukattai: before_images=45, after_images=45, before_annotations=62, after_annotations=62
poha: before_images=224, after_images=224, before_annotations=235, after_annotations=235
poorna_kolukattai: before_images=45, after_images=45, before_annotations=47, after_annotations=47
prawn_thokku: before_images=45, after_images=45, before_annotations=48, after_annotations=48
puri: before_images=81, after_images=81, before_annotations=88, after_annotations=88
raita: before_images=51, after_images=51, before_annotations=52, after_annotations=52
rajma_curry: before_images=216, after_images=216, before_annotations=220, after_annotations=220
ras_malai: before_images=69, after_images=69, before_annotations=74, after_annotations=74
rice: before_images=380, after_images=380, before_annotations=415, after_annotations=415
roti: before_images=172, after_images=172, before_annotations=201, after_annotations=201
saag: before_images=112, after_images=112, before_annotations=115, after_annotations=115
salad: before_images=34, after_images=34, before_annotations=39, after_annotations=39
